,Date,type,value
662,01-Jan-16,westmidlands,101.8
663,01-Jan-16,london,103.9
664,01-Jan-16,southwest,101.3
665,01-Feb-16,england,102.9
666,01-Feb-16,northwest,101
667,01-Feb-16,westmidlands,101.9
668,01-Feb-16,london,104.1
669,01-Feb-16,southwest,101.5
670,01-Mar-16,england,103.1
671,01-Mar-16,northwest,101.1
672,01-Mar-16,westmidlands,102.1
673,01-Mar-16,london,104.4
674,01-Mar-16,southwest,101.8
675,01-Apr-16,england,103.4
676,01-Apr-16,northwest,101.2
677,01-Apr-16,westmidlands,102.2
678,01-Apr-16,london,104.7
679,01-Apr-16,southwest,101.9
680,01-May-16,england,103.6
681,01-May-16,northwest,101.3
682,01-May-16,westmidlands,102.3
683,01-May-16,london,104.8
684,01-May-16,southwest,102.1
685,01-Jun-16,england,103.7
686,01-Jun-16,northwest,101.3
687,01-Jun-16,westmidlands,102.4
688,01-Jun-16,london,104.9
689,01-Jun-16,southwest,102.3
690,01-Jul-16,england,103.8
691,01-Jul-16,northwest,101.4
692,01-Jul-16,westmidlands,102.5
693,01-Jul-16,london,105
694,01-Jul-16,southwest,102.4
695,01-Aug-16,england,104.1
696,01-Aug-16,northwest,101.5
697,01-Aug-16,westmidlands,102.9
698,01-Aug-16,london,105.3
699,01-Aug-16,southwest,102.9
700,01-Sep-16,england,104.3
701,01-Sep-16,northwest,101.7
702,01-Sep-16,westmidlands,103.1
703,01-Sep-16,london,105.5
704,01-Sep-16,southwest,103.2
705,01-Oct-16,england,104.5
706,01-Oct-16,northwest,101.9
707,01-Oct-16,westmidlands,103.5
708,01-Oct-16,london,105.7
709,01-Oct-16,southwest,103.5
710,01-Nov-16,england,104.7
711,01-Nov-16,northwest,102
712,01-Nov-16,westmidlands,103.6
713,01-Nov-16,london,105.7
714,01-Nov-16,southwest,103.8
715,01-Dec-16,england,104.9
716,01-Dec-16,northwest,102.1
717,01-Dec-16,westmidlands,103.8
718,01-Dec-16,london,105.8
719,01-Dec-16,southwest,104
720,01-Jan-17,england,105.1
721,01-Jan-17,northwest,102.2
722,01-Jan-17,westmidlands,104
723,01-Jan-17,london,106.1
724,01-Jan-17,southwest,104.2
725,01-Feb-17,england,105.2
726,01-Feb-17,northwest,102.3
727,01-Feb-17,westmidlands,104.2
728,01-Feb-17,london,106.1
729,01-Feb-17,southwest,104.3
730,01-Mar-17,england,105.3
731,01-Mar-17,northwest,102.4
732,01-Mar-17,westmidlands,104.2
733,01-Mar-17,london,106
734,01-Mar-17,southwest,104.4
735,01-Apr-17,england,105.4
736,01-Apr-17,northwest,102.5
737,01-Apr-17,westmidlands,104.5
738,01-Apr-17,london,106.1
739,01-Apr-17,southwest,104.5
740,01-May-17,england,105.5
741,01-May-17,northwest,102.7
742,01-May-17,westmidlands,104.5
743,01-May-17,london,106.3
744,01-May-17,southwest,104.7
745,01-Jun-17,england,105.6
746,01-Jun-17,northwest,102.8
747,01-Jun-17,westmidlands,104.7
748,01-Jun-17,london,106.3
749,01-Jun-17,southwest,104.7
750,01-Jul-17,england,105.8
751,01-Jul-17,northwest,102.8
752,01-Jul-17,westmidlands,104.8
753,01-Jul-17,london,106.5
754,01-Jul-17,southwest,105
755,01-Aug-17,england,105.9
756,01-Aug-17,northwest,102.9
757,01-Aug-17,westmidlands,105
758,01-Aug-17,london,106.5
759,01-Aug-17,southwest,105.1
760,01-Sep-17,england,106
761,01-Sep-17,northwest,103.1
762,01-Sep-17,westmidlands,105.1
763,01-Sep-17,london,106.5
764,01-Sep-17,southwest,105.4
765,01-Oct-17,england,106.1
766,01-Oct-17,northwest,103.2
767,01-Oct-17,westmidlands,105.2
768,01-Oct-17,london,106.5
769,01-Oct-17,southwest,105.7
770,01-Nov-17,england,106.2
771,01-Nov-17,northwest,103.3
772,01-Nov-17,westmidlands,105.5
773,01-Nov-17,london,106.4
774,01-Nov-17,southwest,106
775,01-Dec-17,england,106.2
776,01-Dec-17,northwest,103.4
777,01-Dec-17,westmidlands,105.6
778,01-Dec-17,london,106.2
779,01-Dec-17,southwest,106.2
780,01-Jan-18,england,106.3
781,01-Jan-18,northwest,103.5
