,"Current
ONS code",Lower and Single Tier Authority Data,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,,2019-20,2020-21,Price rise 
Yorkshire and The Humber,E07000169,Selby,,,,,,36.5,37.44,38.42,39.18,40.44,41.62,43.28,44.94,46.78,48.82,51.24,53.43,57.22,58.92,60.25,64.75,69.84,73.04,77.05,78.78,78.06,77.53,77.19,,75.01,78.58,4.759307967
Yorkshire and The Humber,E08000019,Sheffield,,,,,,31.12,31.57,32.51,33.85,35.13,38.63,41.01,41.65,43.44,44.35,47.60,50.75,53.12,54.81,56.06,59.90,64.64,69.02,71.90,73.52,72.85,72.14,71.52,,71.13,73.77,3.704139435
Yorkshire and The Humber,E08000036,Wakefield,,,,,,30.62,31.66,32.77,34.51,36.65,38.80,41.33,42.15,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
Yorkshire and The Humber,E06000014,York,,,,,,38.57,39.68,40.09,41.51,43.60,45.70,48.95,48.23,50.05,52.00,50.42,58.47,60.37,61.86,62.97,67.08,72.07,75.08,78.89,80.68,79.89,79.07,78.29,,76.89,80.60,4.829004977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
East Midlands,E12000004,,23.34,25.61,27.88,29.98,32.59,34.20,35.67,36.67,38.05,39.66,41.45,43.63,44.42,45.94,48.27,50.38,53.65,56.00,57.46,59.06,62.94,69.39,72.88,75.34,76.27,75.70,75.04,74.14,,74.06,76.72,3.586157683
East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
East Midlands,E07000032,Amber Valley,,,,,,33.26,36.73,37.95,39.59,41.98,43.67,44.44,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East Midlands,E07000170,Ashfield,,,,,,32.98,35.85,36.73,37.65,39.53,41.05,43.17,44.22,45.56,47.99,49.25,53.00,54.94,56.68,57.99,60.73,65.07,66.48,67.77,68.77,68.04,67.33,67.04,,66.62,68.69,3.114973605
East Midlands,E07000171,Bassetlaw,,,,,,36.06,37.31,37.44,40.98,43.52,46.49,48.66,48.51,49.68,50.83,52.66,57.34,57.76,59.81,62.00,64.63,71.03,72.42,73.26,74.91,74.22,73.59,72.83,,72.77,74.37,2.20002309
