Year,Year 1,economy,Inflation
2015,YR2015,UKR,48.69986464
2015,YR2015,BLR,13.53448976
2015,YR2015,EST,-0.492326007
2015,YR2015,LVA,0.174242244
2015,YR2015,LTU,-0.884097406
2015,YR2015,POL,-0.874125874
2015,YR2015,HUN,-0.06164468
2015,YR2015,ROU,-0.594156437
2015,YR2015,ALB,3.501208355
2015,YR2015,AUT,0.896563335
2015,YR2015,BGR,-0.104633261
2015,YR2015,BIH,-1.036023034
2015,YR2015,CHE,-1.143908672
2015,YR2015,CZE,0.309364548
2015,YR2015,DEU,0.51442054
2015,YR2015,DNK,0.452034154
2015,YR2015,ESP,-0.50036571
2015,YR2015,FIN,-0.20792884
2015,YR2015,FRA,0.037514381
2015,YR2015,GRC,-1.735888048
2015,YR2015,HRV,-0.464499005
2015,YR2015,IRL,-0.289879079
2015,YR2015,ISL,1.633055582
2015,YR2015,ITA,0.0387904
2015,YR2015,XKX,-0.536929393
2015,YR2015,LUX,0.474743161
2015,YR2015,MDA,9.676240331
2015,YR2015,MKD,-0.299920476
2015,YR2015,MLT,1.100548264
2015,YR2015,MNE,1.548691582
2015,YR2015,NLD,0.600248147
2015,YR2015,NOR,2.171136654
2015,YR2015,PRT,0.487938624
2015,YR2015,SMR,0.145686073
2015,YR2015,SRB,1.39235822
2015,YR2015,SVK,-0.325219777
2015,YR2015,SVN,-0.525552286
2015,YR2015,SWE,-0.046784745
2016,YR2016,RUS,7.04244763
2016,YR2016,UKR,13.9127102
2016,YR2016,BLR,11.83658077
2016,YR2016,EST,0.148684908
2016,YR2016,LVA,0.140633335
2016,YR2016,LTU,0.905525075
2016,YR2016,POL,-0.664767331
2016,YR2016,HUN,0.394769307
2016,YR2016,ROU,-1.544796668
2016,YR2016,ALB,-0.36731721
2016,YR2016,AUT,0.891591753
2016,YR2016,BGR,-0.798649886
2016,YR2016,BIH,-1.5841
2016,YR2016,CHE,-0.434618664
2016,YR2016,CZE,0.683504209
2016,YR2016,DEU,0.491748625
2016,YR2016,DNK,0.25
2016,YR2016,ESP,-0.202598
2016,YR2016,FIN,0.356684501
2016,YR2016,FRA,0.183334861
2016,YR2016,GRC,-0.825653978
2016,YR2016,HRV,-1.125
2016,YR2016,IRL,0.008306338
2016,YR2016,ISL,1.69692762
2016,YR2016,ITA,-0.094016657
2016,YR2016,XKX,0.273169431
2016,YR2016,LUX,0.290833333
2016,YR2016,MDA,6.35930898
2016,YR2016,MKD,-0.239290788
2016,YR2016,MLT,0.642702772
2016,YR2016,MNE,-0.271385023
2016,YR2016,NLD,0.316666667
2016,YR2016,NOR,3.55
2016,YR2016,PRT,0.607397075
2016,YR2016,SMR,0.57394802
2016,YR2016,SRB,1.122313974
2016,YR2016,SVK,-0.520010196
2016,YR2016,SVN,-0.054999542
2016,YR2016,SWE,0.984269245
2017,YR2017,RUS,3.683329444
2017,YR2017,UKR,14.43832275
2017,YR2017,BLR,6.031837252
2017,YR2017,EST,3.417235495
2017,YR2017,LVA,2.930363124
2017,YR2017,LTU,3.722888623
